file	endpointExports	otherExports
convex\accounting.ts	6	0
convex\accountingStudio.ts	1	0
convex\adminHealth.ts	1	0
convex\agent_tasks.ts	1	0
convex\agent.ts	27	0
convex\agentData.ts	3	0
convex\agentTurns.ts	1	0
convex\brainDump.ts	3	0
convex\changeSets.ts	8	1
convex\contextManager\promptBuilder.ts	0	1
convex\contextManager\pull.ts	1	0
convex\contextManager\recipes.ts	0	2
convex\contextManager\types.ts	0	4
convex\contextManager\views\projectCore.ts	0	1
convex\customers.ts	4	0
convex\customersStudio.ts	3	0
convex\debug_fetch_traces.ts	1	0
convex\debug_inspect.ts	1	0
convex\drafts.ts	4	1
convex\elements.ts	5	4
convex\featureFlags.ts	3	3
convex\files.ts	8	0
convex\filesActions.ts	1	0
convex\financials.ts	8	0
convex\flow\answerState.ts	1	0
convex\flow\api.ts	4	0
convex\flow\artifactRevisions.ts	2	3
convex\flow\audit.ts	5	0
convex\flow\batching.ts	0	2
convex\flow\brainDumpExtractor.ts	0	1
convex\flow\chat.ts	6	0
convex\flow\clarificationPackBuilder.ts	0	2
convex\flow\flowRunner.ts	2	0
convex\flow\flowRunnerV3.ts	7	0
convex\flow\gateActions.ts	2	0
convex\flow\graph.ts	0	6
convex\flow\orchestrator.ts	5	0
convex\flow\questionSets.ts	1	0
convex\flow\questionsUi.ts	5	0
convex\flow\replay.ts	1	0
convex\flow\snapshotBuilder.ts	1	2
convex\flow\ui.ts	2	0
convex\flow\validation\readiness.ts	0	1
convex\flow\validation\types.ts	0	4
convex\flow\validation\validateG0Brief.ts	0	1
convex\flow\validation\validateG1Elements.ts	0	1
convex\flow\validation\validateG2Tasks.ts	0	1
convex\flow\validation\validateG3Accounting.ts	0	1
convex\flow\validation\validateG4Pricing.ts	0	1
convex\flow\validation\validateG5TasksEnrichment.ts	0	1
convex\flow\validation\validateG6OpsCompleteness.ts	0	1
convex\flow\validation\validateG7PricingRecheck.ts	0	1
convex\flow\validation\validateG8Quote.ts	0	1
convex\flow\validation\validateG9Audit.ts	0	1
convex\flowAnswers.ts	6	0
convex\flowChangeSetApplyLogs.ts	1	0
convex\flowNodeRuns.ts	1	0
convex\flowRuns.ts	26	0
convex\flowSteps.ts	1	0
convex\inventory_helpers.ts	0	3
convex\inventory.ts	5	0
convex\lib\dates.ts	0	2
convex\lib\llm.ts	1	4
convex\lib\normalize.ts	0	2
convex\lib\pricing.ts	0	3
convex\lib\reasoning.ts	0	1
convex\lib\webSearch.ts	0	1
convex\management.ts	40	0
convex\memory.ts	21	0
convex\migrations.ts	11	0
convex\patch.ts	0	2
convex\printing.ts	2	0
convex\projects.ts	27	0
convex\projectsCustomers.ts	1	0
convex\projectsStage.ts	3	0
convex\quotePdf.ts	1	0
convex\quotes.ts	11	0
convex\receipts.ts	8	0
convex\receiptsActions.ts	1	0
convex\reconciliation.ts	0	1
convex\runbooks.ts	12	0
convex\sdk\api.ts	28	0
convex\sdk\changeset.ts	3	0
convex\sdk\chatPolicy.ts	0	6
convex\sdk\context.ts	2	0
convex\sdk\dispatch.ts	1	0
convex\sdk\finalize.ts	1	0
convex\sdk\knowledge.ts	1	0
convex\sdk\knowledgeMutations.ts	1	0
convex\sdk\llm.ts	0	1
convex\sdk\planner.ts	1	0
convex\sdk\plannerNode.ts	1	0
convex\sdk\projectPlanning.ts	23	0
convex\sdk\prompts.ts	0	25
convex\sdk\queries.ts	3	0
convex\sdk\questions.ts	11	0
convex\sdk\rebase.ts	5	0
convex\sdk\rebaseNode.ts	1	0
convex\sdk\regenRules.ts	0	7
convex\sdk\registry.ts	0	2
convex\sdk\runner.ts	1	1
convex\sdk\schemas.ts	0	5
convex\sdk\shadow.ts	1	0
convex\sdk\telemetry.ts	6	0
convex\sdk\vnext\artifacts.ts	6	0
convex\sdk\vnext\auditBridge.ts	0	1
convex\sdk\vnext\compiler.ts	0	1
convex\sdk\vnext\contracts.ts	0	11
convex\sdk\vnext\pipeline.ts	0	1
convex\sdk\vnext\progress.ts	0	3
convex\sdk\vnext\skillBridge.ts	0	1
convex\sdk\vnext\specBuilder.ts	0	1
convex\sdk\vnext\stages.ts	0	4
convex\sdk\vnext\validators\validateAudit.ts	0	1
convex\sdk\vnext\validators\validateBrief.ts	0	1
convex\sdk\vnext\validators\validateBudget.ts	0	1
convex\sdk\vnext\validators\validateCompile.ts	0	1
convex\sdk\vnext\validators\validateConcept.ts	0	1
convex\sdk\vnext\validators\validateOps.ts	0	1
convex\sdk\vnext\validators\validatePricing.ts	0	1
convex\sdk\vnext\validators\validateQuote.ts	0	1
convex\sdk\vnext\validators\validateScope.ts	0	1
convex\sdk\vnext\validators\validateTasks.ts	0	1
convex\shareLinks.ts	2	0
convex\skills\prompts.ts	0	2
convex\skills\recommender.ts	2	0
convex\skills\registry.ts	4	2
convex\skills\runner.ts	24	0
convex\skills\tags.ts	0	9
convex\suggestions.ts	1	0
convex\taskRevisions.ts	4	0
convex\tasks.ts	5	0
convex\tasksStudio.ts	1	0
convex\test_chat.ts	1	0
convex\test_hello_world.ts	1	0
convex\testing.ts	8	0
convex\tracing.ts	6	0
convex\trelloSync.ts	8	0
convex\users.ts	2	0
